Date - Year,Date - Month,Date - day,Origin-TIME (UTC) - hr,Origin-TIME (UTC) - min,Origin-TIME (UTC) - sec,Latitude - °N,Longitude - °E,Depth - (Km),Magnitude - (Richter scale)
2014,1,4,14,27,12.3,36.55,70.68,258,4.4
2014,1,4,15,12,26.7,36.99,68.24,33,4
2014,1,5,13,30,46.7,33.07,75.41,4,3.8
2014,1,6,21,10,32.5,36.42,70.92,288,4.1
2014,1,7,11,37,6.3,36.31,69.54,107,4.8
2014,1,7,13,50,22.7,20.7,74,15,3.5
2014,1,7,16,32,8.5,22.8,94.2,33,3.1
2014,1,7,21,45,28.7,18.68,77.71,15,2.7
2014,1,10,1,34,58.9,32.76,76.4,5,2.2
2014,1,10,21,40,36.2,28.3,93.25,10,3.9
2014,1,11,2,4,2.2,21.2,93.99,83,4
2014,1,11,9,32,27.7,36.54,71.13,262,4.8
2014,1,14,8,36,16.2,8.71,93.52,30,3.3
2014,1,14,15,41,8.5,36.41,71.47,139,5.1
2014,1,15,15,44,36.2,36.47,71.24,145,5.1
2014,1,16,10,15,5.4,37.94,68.68,15,4.3
2014,1,16,17,47,37.4,31.67,90.12,65,5
2014,1,18,0,48,49.2,16.01,82.52,7,2.8
2014,1,18,11,55,39.7,36.52,70.82,306,4.3
2014,1,19,15,33,15.1,32.72,93.72,17,4.6
2014,1,20,13,18,25,22.12,92.93,15,3
2014,1,20,14,40,57.9,29.84,80.55,5,2.8
2014,1,20,23,27,33.5,6.49,95.35,233,3.9
2014,1,21,15,13,55.9,30.59,77.1,16,2.8
2014,1,21,22,25,0.8,36.54,68.88,352,3.6
2014,1,22,0,32,34.7,18.32,77.46,68,2.9
2014,1,23,14,35,8.6,36.71,71.85,92,4.3
2014,1,24,0,51,35.5,24.11,93.72,15,3.3
2014,1,24,18,22,40.4,36.38,71.26,309,4.4
2014,1,24,23,25,24.7,22.65,95.81,10,3.1
2014,1,25,21,36,29.7,34.63,69.8,37,3.4
2014,1,26,12,38,34,23.03,96.3,10,5.1
2014,1,27,10,33,20.5,34.97,72.52,33,4.4
2014,1,27,20,12,45,14.31,93.04,20,3.3
2014,1,29,13,46,54.2,24.2,93.5,74,5
2014,1,30,12,17,14.8,22.78,94.31,40,4.6
2014,1,30,19,49,35.9,6.26,96.07,183,3.6
2014,2,2,16,45,18.7,22.61,96.42,10,3.1
2014,2,2,23,44,0.4,12.54,95.06,10,5.1
2014,2,3,10,52,15,36.26,70.18,214,4.3
2014,2,4,15,48,10.6,35.49,70.05,153,4.7
2014,2,4,16,7,15.1,32.81,76.14,5,2.8
2014,2,4,16,9,20.7,32.81,76.18,5,2.6
2014,2,4,16,11,18.2,32.92,76.18,5,3.4
2014,2,4,20,47,31.7,37.44,75.4,357,3.8
2014,2,6,4,13,51.5,38,74.93,115,4.4
2014,2,6,15,7,45,28.66,96.86,96,3.4
2014,2,7,8,56,43.7,32,90.31,27,4.7
2014,2,8,0,16,13.5,36.84,71.44,238,4.1
2014,2,8,4,26,44.4,8.98,92.76,15,3.4
2014,2,8,19,21,6.5,36.69,71.22,323,3.8
2014,2,9,0,52,56.4,36.42,70.01,312,4.2
2014,2,9,23,24,19.2,23.18,96.26,6,3
2014,2,9,23,43,50.9,25.93,95.17,143,3
2014,2,10,7,24,26.7,36.83,71.2,94,3.7
2014,2,11,1,15,32,33.83,89.18,49,5.1
2014,2,11,2,14,50.7,36.51,82.81,10,5.1
2014,2,12,9,19,53.2,35.72,82.61,33,6.4
2014,2,12,9,24,43,35.82,82.47,10,5.8
2014,2,13,6,23,37.5,11.57,93.97,114,4.3
2014,2,13,16,8,22.7,22.67,94.44,92,3.5
2014,2,14,13,10,46.4,24.7,89.64,13,4
2014,2,15,21,24,44.9,36.44,71.1,229,4.8
2014,2,16,5,19,21.5,9.96,94.33,16,3.9
2014,2,16,19,2,30.7,30.42,79.25,10,3.7
2014,2,17,0,30,42.4,30.3,79.94,10,3.5
2014,2,18,11,58,15.6,36.87,71.39,196,4.4
2014,2,19,15,2,15.1,13.93,93.13,9,3.2
2014,2,21,6,0,35,37.96,72.84,150,4
2014,2,21,6,46,48,29.97,76.19,10,3.9
2014,2,21,7,26,6.9,30.04,76.22,9,3.5
2014,2,22,2,58,41.5,36.78,74.01,66,4.2
2014,2,23,17,4,53,26.93,92.59,76,4.5
2014,2,24,8,59,5,31.33,69.35,15,3.6
2014,2,24,14,15,5.9,30.46,79.22,10,3.5
2014,2,26,11,4,19.7,36.69,70.67,236,4.1
2014,2,26,20,58,53.4,24.59,93.68,19,4
2014,2,28,5,50,35.7,7.43,94.51,72,5.2
2014,2,28,13,11,25.2,23.45,91.61,21,3.7
2014,2,28,17,46,23.2,28.73,77.27,12,2.6
2014,3,1,8,54,53.2,36.8,71.32,399,4.4
2014,3,1,14,17,19.7,37.33,71.94,150,4
2014,3,3,19,19,51,27.04,70.61,10,3.5
2014,3,4,0,13,0.2,30.69,69.26,10,3.5
2014,3,6,12,39,52.7,26.25,90.14,10,3.5
2014,3,7,8,41,56.5,31.86,90.75,10,4.7
2014,3,7,21,43,56.2,36.75,71.99,217,4.1
2014,3,8,19,1,11,23.52,70.22,10,4
2014,3,9,11,59,8.1,37.8,72.2,92,4
2014,3,9,12,46,4.5,36.51,70.65,150,3.9
2014,3,9,16,3,2.2,19.29,95.74,33,5
2014,3,11,11,23,55.7,13.78,92.74,23,4.9
2014,3,13,2,11,59.2,34.32,69.77,10,4.1
2014,3,13,17,2,8.6,29.87,80.3,5,2.9
2014,3,13,20,5,18.7,27.51,92.68,10,3.7
2014,3,14,13,38,7.3,7.64,94.41,21,5.4
2014,3,15,5,11,53.7,29,76.53,5,2.7
2014,3,15,6,30,41.7,7.19,94.88,33,4.9
2014,3,17,0,41,51.5,36.24,70.67,270,3.9
2014,3,18,10,11,24,37.21,71.92,202,4.1
2014,3,18,19,20,45.4,22.73,96.03,33,3.3
2014,3,19,1,42,51.4,36.46,71.05,130,4.7
2014,3,19,12,24,31.1,30.63,77.86,5,3.1
2014,3,19,14,15,38.2,36.26,69.86,123,5.1
2014,3,20,4,0,20.2,23.33,94.38,109,4.7
2014,3,20,14,14,25.2,31.72,73.61,41,4.1
2014,3,20,19,36,57,36.93,70.85,120,4
2014,3,21,13,41,9.1,7.66,94.4,28,6.3
2014,3,21,13,41,9.5,7.74,94.33,21,6.2
2014,3,21,14,13,29.1,7.14,94.25,25,5.2
2014,3,21,14,25,10.5,7.5,94.35,10,5
2014,3,21,14,36,6.5,7.18,94.51,NA,4.1
2014,3,21,14,45,50.2,7.3,94.69,10,4.8
2014,3,21,14,49,54.7,6.93,94.7,10,4.4
2014,3,21,14,53,5.5,7.48,94.08,10,4.5
2014,3,21,15,8,37.2,7.38,94.54,10,4.3
2014,3,21,15,43,27.5,7.49,94.48,1,4.5
2014,3,21,15,48,27.6,7.76,94.12,NA,4.8
2014,3,21,18,8,23.6,7.04,94.76,10,4
2014,3,21,18,56,7,7.33,94.21,10,3.4
2014,3,21,18,50,37.7,7.32,94.2,10,4.6
2014,3,21,18,50,37.7,7.32,94.2,10,4.6
2014,3,21,21,3,40,7.39,94.5,10,5.1
2014,3,21,22,57,17,7.31,94.42,16,4.6
2014,3,21,23,50,17,7.31,94.36,10,4.5
2014,3,22,0,10,33.7,7.48,94.35,10,4.8
2014,3,22,8,35,35,23.08,94.24,38,4.3
2014,3,22,12,58,20.6,35.76,82.15,29,5
2014,3,23,1,55,4,36.58,70.95,176,3.9
2014,3,23,13,47,37,36.67,71.36,270,4
2014,3,23,17,46,11.6,36.36,70.25,308,4.5
2014,3,24,9,14,53.2,36.76,70.64,164,4.6
2014,3,25,0,54,31.7,18.58,73.69,12,3.2
2014,3,25,17,36,50.7,35.73,70.1,96,3.8
2014,3,25,23,4,36,30.35,80.93,37,3.4
2014,3,26,19,52,9.3,33.78,73.18,15,3.9
2014,3,27,7,39,27.7,34.99,73.25,19,4
2014,3,28,10,24,10.1,37.08,70.9,102,5.3
2014,3,30,17,10,17.2,31.24,86.35,10,5.2
2014,3,31,7,51,35,29.67,82.38,10,3.8
2014,4,1,17,45,2,26.11,93.1,33,4.6
2014,4,2,2,3,7.8,17.37,73.63,10,3.4
2014,4,4,6,57,35.5,22.92,93.77,59,4.3
2014,4,6,6,37,49.4,25.98,93.78,33,4.3
2014,4,11,0,45,6.3,12.66,93.22,32,4.9
2014,4,11,17,22,13.6,29.32,81.68,10,3.2
2014,4,13,3,30,11.5,36.39,70.64,38,4.4
2014,4,18,21,34,38.9,17.2,73.9,20,2.8
2014,4,19,8,29,10.8,34.6,75.6,10,4
2014,4,19,20,12,35.9,32.44,72.99,39,4
2014,4,21,4,49,49.5,35.89,70.66,116,4.5
2014,4,26,17,48,48.2,35.06,69.69,53,4.4
2014,4,27,9,14,9.3,27.63,76.05,10,3.3
2014,4,27,11,58,32,35.73,68.6,81,4
2014,4,27,14,22,20.7,30.39,83.39,18,3.6
2014,4,30,7,46,58.5,23.28,94.23,33,4.1
2014,5,1,0,56,13.6,13.63,92.82,38,4.4
2014,5,1,13,40,3.4,31.84,69.31,10,4.5
2014,5,1,15,57,56.2,36.2,70.36,33,4
2014,5,3,0,5,5.8,36.91,72.49,243,4.2
2014,5,3,18,49,34.5,35.57,72.07,10,4.4
2014,5,3,22,48,50.9,36.32,70.67,118,4.8
2014,5,4,0,59,38.5,32.4,96.43,10,4
2014,5,4,2,6,29.2,32.14,95.36,10,4.4
2014,5,5,3,52,18.7,37.48,72.87,314,4.1
2014,5,8,23,50,13.1,26.2,68.65,10,4.2
2014,5,10,23,23,5,36.74,71.12,290,4.3
2014,5,14,1,54,5.8,29.88,80.27,19,3.4
2014,5,18,19,33,52.9,26.41,93.18,56,3.7
2014,5,19,21,53,32.2,31.92,77.13,13,4
2014,5,21,14,47,50.5,36.91,70.23,167,4.7
2014,5,21,16,21,54.4,18.25,88.09,34,5.8
2014,5,26,0,43,8.5,35.8,69.35,200,4.1
2014,5,28,3,19,10.1,25.32,95.05,126,4.7
2014,5,29,3,23,49.4,24.39,94.46,85,4.5
2014,5,30,6,37,51.2,26.6,90.38,14,4.2
2014,5,31,17,31,45.7,16.45,95.87,10,4.9
2014,6,1,12,25,33,36.53,70.08,211,4.6
2014,6,3,2,11,47.9,33.85,69.51,37,4
2014,6,3,5,34,47.5,24.71,97.78,NA,4.2
2014,6,3,18,0,17.6,36.15,69.47,150,4.9
2014,6,4,7,20,12.6,22.75,93.38,53,4.6
2014,6,8,9,27,21.5,36.36,70.39,230,4.4
2014,6,9,4,46,5.5,27.4,88.15,5,3.9
2014,6,9,17,40,21.1,24.06,91.43,18,3.9
2014,6,11,0,48,28,31.41,86.77,10,3.5
2014,6,11,15,7,32.9,23.28,94.15,35,3.7
2014,6,13,13,32,47.4,33.41,75.54,6,5
2014,6,13,15,39,9,28.61,77.25,18,2.7
2014,6,13,16,16,31.2,29.15,86.03,10,3.3
2014,6,14,3,58,39,36.38,70.31,184,5.6
2014,6,14,5,24,31.2,26.88,92.64,10,4.5
2014,6,17,0,11,39.7,36.87,70.86,235,4.6
2014,6,17,17,31,7.8,32.4,76.39,6,4.1
2014,6,19,14,3,36.9,36.54,72,247,4.9
2014,6,19,16,42,32,35.04,69.61,250,4.2
2014,6,24,14,52,7.5,36.18,70.26,200,4.4
2014,6,28,5,57,4,12.09,93.45,33,4.9
2014,7,3,11,34,59,30.2,80.2,10,4.1
2014,7,3,20,40,0,35.6,75.2,10,5
2014,7,4,5,58,39,27.8,87.9,19,3.9
2014,7,6,14,48,9,30.2,80.3,10,4.5
2014,7,6,21,6,56,25.7,91.2,5,3.4
2014,7,8,15,35,40,36.2,74,97,4.9
2014,7,11,4,14,9,36.3,71.2,93,5.1
2014,7,12,0,14,17,26.2,91.4,5,3.8
2014,7,12,15,27,50,32.6,76.3,5,3.8
2014,7,18,20,44,25,28.8,77.2,5,2.5
2014,7,19,6,40,4,27.3,88.8,9,3.1
2014,7,22,20,54,41,26.1,89.9,10,3.8
2014,7,22,22,58,28,26.3,89.8,10,4.4
2014,7,22,23,35,13,26.3,89.8,18,4.2
2014,7,24,8,42,35,28.6,76.7,5,2.5
2014,7,25,4,56,17,33,76.1,10,3.9
2014,7,27,5,35,37,26.1,90.6,10,3.5
2014,7,29,7,7,11,14.3,93,35,5.5
2014,8,1,15,1,1,23.8,93.6,170,3.6
2014,8,1,20,27,54,24.8,94.4,147,4.4
2014,8,2,16,19,0,12.1,93.6,96,5
2014,8,7,18,44,23,26.2,92.1,10,3.4
2014,8,9,3,12,50,26.3,93.6,10,3.8
2014,8,12,20,52,0,9.7,93.7,100,5
2014,8,16,16,39,46,24.7,94.6,10,4.8
2014,8,17,20,34,34,23.9,91.4,98,4.2
2014,8,20,8,4,59,27.6,92.3,10,4.1
2014,8,21,0,32,33,26.8,93.2,20,3.5
2014,8,21,8,11,17,32.3,76.5,10,5
2014,8,22,7,5,48,27,92.6,15,3.3
2014,8,23,19,58,47,8.4,93.6,100,4.8
2014,8,24,8,29,31,29.9,79.9,5,4.1
2014,8,31,11,48,24,36.5,71,204,5.5
2014,9,1,8,31,53,25.3,94.9,100,3.7
2014,9,4,0,48,26,28.6,94.1,5,3.8
2014,9,4,11,31,29,29.3,77.2,16,3.5
2014,9,6,17,12,17,25.1,95.2,139,4.6
2014,9,8,13,11,0,14.3,92.8,13,4.6
2014,9,9,9,28,21,22.1,93.1,7,5.2
2014,9,12,7,56,44,26.1,90.2,10,4.2
2014,9,12,13,6,31,8.6,92.6,41,5.1
2014,9,13,3,31,25,27.8,92.8,10,4.4
2014,9,13,22,31,51,36,70.7,89,5.3
2014,9,15,21,38,58,24.7,94.7,10,3.7
2014,9,17,10,29,12,27.8,87.8,20,3.9
2014,9,17,17,3,17,33,75.6,10,3.5
2014,9,22,20,49,9,34.5,73.9,10,4.3
2014,9,26,4,21,26,12.5,95.3,36,5.4
2014,9,27,16,22,39,35.9,73.2,10,4.6
2014,9,27,22,49,1,36.4,69.9,10,5.5
2014,10,6,13,46,5,24.3,93.3,10,3.6
2014,10,12,3,32,45,13,94,100,5.4
2014,10,12,21,43,12,28.7,94.4,10,3.8
2014,10,13,19,25,22,25.6,91.9,10,2.7
2014,10,14,18,36,8,7.4,94.4,10,4.8
2014,10,17,9,44,58,27.6,96.7,10,4
2014,10,18,13,59,41,6.9,92.3,19,4.7
2014,10,22,5,18,52,23.1,79.6,5,2.8
2014,10,23,4,5,32,34.8,74,10,4.9
2014,10,24,0,5,23,24.1,93.9,10,4.8
2014,10,24,5,11,55,23.7,94.7,80,4
2014,10,24,17,23,53,7.6,94.4,10,4.4
2014,10,26,2,56,31,7.6,95,60,4.7
2014,10,27,22,5,32,27.7,93.8,10,3.8
2014,10,30,3,47,54,26.4,90.4,10,3.7
2014,11,2,5,41,4,26.8,94,30,4.1
2014,11,2,11,38,21,7.4,94.4,10,4.4
2014,11,6,15,46,25,7.3,94.5,80,4.9
2014,11,11,5,4,48,7.6,94.5,16,4.6
2014,11,11,5,38,47,8,94.7,18,4.7
2014,11,11,7,42,14,9,93.9,33,4.6
2014,11,11,7,50,9,7.5,94.5,33,5.1
2014,11,11,8,4,38,7.6,94.3,10,4.8
2014,11,11,15,24,36,7.6,94.4,10,4.5
2014,11,14,13,37,36,27.4,92.5,10,3.6
2014,11,14,21,19,41,7.3,94.4,10,4.4
2014,11,16,20,33,30,24.2,93.7,33,4
2014,11,18,3,25,43,7.4,94.4,10,5.4
2014,11,18,6,6,17,6.8,95,10,4.8
2014,11,18,6,12,8,7.1,94.1,10,4.6
2014,11,18,15,55,26,32.7,76,5,3.7
2014,11,19,15,26,0,24.5,72.4,5,2.9
2014,11,20,6,5,47,7.3,94.4,10,4.7
2014,11,20,18,14,32,23.8,93.5,33,5.6
2014,11,20,22,45,22,23.5,93.6,80,4.3
2014,11,21,8,58,6,36.6,71.1,210,5.3
2014,11,21,16,11,15,23.6,93.4,46,4.7
2014,11,21,22,45,38,34.3,79,85,4.3
2014,11,22,11,34,50,17.3,73.8,15,3.6
2014,11,25,15,49,8,27.8,84.7,7,3.8
2014,11,25,21,32,26,27.1,89,10,4.5
2014,11,28,1,18,41,12.5,92.8,10,5.4
2014,12,2,18,47,2,26.3,91.3,15,3
2014,12,3,6,28,11,24,92.7,46,3.6
2014,12,4,23,53,49,27,92.5,10,4.8
2014,12,8,5,39,4,12.1,93.6,33,4
2014,12,10,14,44,50,24.5,94.1,32,3.6
2014,12,11,19,27,38,24.6,94.2,72,3.7
2014,12,18,12,14,29,36.5,71,165,5
2014,12,18,15,32,6,27.6,86.4,10,5.2
2014,12,19,2,36,17,7.5,94.3,10,4.7
2014,12,19,14,41,46,6.8,94.6,35,5.1
2014,12,21,5,37,37,24.3,94.5,80,5
2014,12,22,23,24,43,22.3,92.9,10,4.1
2014,12,25,7,40,49,26.4,89.9,10,4.1
2014,12,26,3,30,41,23.4,93.8,6,3.3
2014,12,26,7,8,9,28.1,87,12,5
2014,12,26,13,0,5,6.7,94.5,10,4.8
2014,12,27,2,2,39,23.5,94.4,10,4.2
2014,12,27,15,25,50,24.8,94,10,3.6
2014,12,29,17,26,57,26.4,92,10,4
2015,1,2,7,23,34,24.1,93.9,20,3.5
2015,1,5,9,20,15,24.1,93.7,10,3.7
2015,1,5,19,41,40,29,81.8,5,4.2
2015,1,10,13,6,36,11,93.5,117,4.9
2015,1,13,6,33,56,24.6,94,10,3.2
2015,1,14,15,49,52,28.9,77,5,3.3
2015,1,15,1,33,1,22.6,92.5,5,4
2015,1,22,7,43,14,12.9,93,15,4
2015,1,23,0,29,44,12.9,92.8,38,4.5
2015,1,23,4,48,24,30,81.6,10,3.2
2015,1,24,16,11,32,25.1,95,10,4.8
2015,1,26,18,29,27,12.5,92.8,50,4.5
2015,1,31,13,59,47,28.2,83.8,10,4.6
2015,1,31,21,11,11,24.3,94.1,85,3.4
2015,2,1,16,0,47,26.4,93.2,10,4.1
2015,2,3,9,28,11,25.9,91.2,11,3.5
2015,2,4,10,44,17,33,83.4,10,5.3
2015,2,6,13,13,9,26.9,91.9,10,3.5
2015,2,6,22,39,27,25.4,94.6,15,3.5
2015,2,7,23,35,59,36.7,73.3,70,4.5
2015,2,9,14,13,10,9.2,93.3,10,4.7
2015,2,11,3,30,11,13.2,92.2,20,5.3
2015,2,12,8,19,35,34,74.1,14,3.5
2015,2,12,14,32,59,24.2,94,90,5
2015,2,12,15,32,52,24,94,50,3.5
2015,2,14,17,6,51,26.7,87.6,10,3.8
2015,2,15,14,14,16,34.1,75.2,10,4.2
2015,2,18,4,7,49,24.1,93.7,30,3.6
2015,2,19,9,18,24,26.6,96.2,10,3.8
2015,2,21,15,55,38,25.2,94.3,28,3.4
2015,2,23,6,31,59,10.2,92.1,10,4.8
2015,2,23,6,35,32,26,95.2,10,3.9
2015,2,23,8,17,49,23.8,91.3,25,3.5
2015,2,24,12,54,45,25.8,91.7,10,3
2015,2,25,0,39,24,16.7,80.1,10,4
2015,2,26,13,58,10,36.4,71,96,5.1
2015,2,26,21,59,2,34.6,73.2,10,5.3
2015,3,7,10,58,20,25.1,94.2,30,3.1
2015,3,17,15,28,37,24.5,94.5,96,4
2015,3,19,2,14,58,36.8,73.5,10,3.8
2015,3,19,3,36,59,16.1,80.9,5,3
2015,3,19,9,41,55,24,72.7,5,3.5
2015,3,20,21,44,58,24.9,94.6,10,3.1
2015,3,21,17,44,37,36.4,71.7,86,5.1
2015,3,22,10,20,19,25.4,92.6,44,3.7
2015,3,22,12,6,37,22,92.9,10,4
2015,3,23,11,53,26,29.1,77.5,10,3
2015,3,23,23,27,45,26.1,94.5,20,3.5
2015,3,25,6,41,32,36.5,71.5,108,5.1
2015,3,25,10,13,8,13.4,91.9,6,4
2015,3,27,18,51,49,10.1,93.5,70,5
2015,3,29,1,3,2,27.9,94.3,10,3.4
2015,3,30,19,56,48,24.6,93.1,10,3
2015,4,1,21,23,54,30.2,79.4,10,5.1
2015,4,3,12,45,22,10.6,93.2,100,4
2015,4,8,1,43,46,21.9,89.5,10,4.5
2015,4,9,11,19,55,26.6,92.8,10,3.1
2015,4,9,12,58,25,25.6,91.5,26,2.8
2015,4,9,22,49,40,14.2,92.9,10,5.1
